Calendar,WeekStarting,GreenBin,Garbage,Recycling,MrGreen,ChristmasTree
Custom,03/28/18,1,1,1,0,0
Custom,04/04/18,1,1,0,0,0
Custom,04/11/18,1,1,1,0,0
Custom,04/18/18,1,1,0,0,0
Custom,04/25/18,1,1,1,0,0
Custom,05/02/18,1,1,0,0,0
Custom,05/09/18,1,1,1,0,0
Custom,05/16/18,1,1,0,0,0
Custom,05/23/18,1,1,1,0,0
Custom,05/30/18,1,1,0,0,0
Custom,06/06/18,1,1,1,0,0
Custom,06/13/18,1,1,0,0,0
Custom,06/20/18,1,1,1,0,0
Custom,06/27/18,1,1,0,0,0
Custom,07/04/18,1,1,1,0,0
Custom,07/11/18,1,1,0,0,0
Custom,07/18/18,1,1,1,0,0
Custom,07/25/18,1,1,0,0,0
Custom,08/02/18,1,1,0,0,0
Custom,08/08/18,1,1,0,0,0
Custom,08/15/18,1,1,1,0,0
Custom,08/22/18,1,1,0,0,0
Custom,08/29/18,1,1,1,0,0
Custom,09/05/18,1,1,0,0,0
Custom,09/12/18,1,1,1,0,0
Custom,09/19/18,1,1,0,0,0
Custom,09/26/18,1,1,1,0,0
Custom,10/03/18,1,1,0,0,0
Custom,10/10/18,1,1,1,0,0
Custom,10/17/18,1,1,0,0,0
Custom,10/24/18,1,1,1,0,0
Custom,10/31/18,1,1,0,0,0
Custom,11/07/18,1,1,1,0,0
Custom,11/14/18,1,1,0,0,0
Custom,11/21/18,1,1,1,0,0
Custom,11/28/18,1,1,0,0,0
Custom,12/05/18,1,1,1,0,0
Custom,12/12/18,1,1,0,0,0
Custom,12/19/18,1,1,1,0,0
Custom,12/27/18,1,1,0,0,0
Custom,01/03/19,1,1,0,0,0
Custom,01/09/19,1,1,0,0,0
Custom,01/16/19,1,1,1,0,0
Custom,01/23/19,1,1,0,0,0
Custom,01/30/19,1,1,1,0,0
Custom,02/06/19,1,1,0,0,0
Custom,02/13/19,1,1,1,0,0
Custom,02/20/19,1,1,0,0,0
Custom,02/27/19,1,1,1,0,0
Custom,03/06/19,1,1,0,0,0
Custom,03/13/19,1,1,1,0,0
Custom,03/20/19,1,1,0,0,0
Custom,03/27/19,1,1,1,0,0
Custom,04/03/19,1,1,0,0,0
Custom,04/10/19,1,1,1,0,0
Custom,04/17/19,1,1,0,0,0
Custom,04/24/19,1,1,1,0,0
Custom,05/02/19,1,1,0,0,0
Custom,05/08/19,1,1,1,1,0
Custom,05/15/19,1,1,0,0,0
Custom,05/22/19,1,1,1,1,0
Custom,05/29/19,1,1,0,0,0
Custom,06/05/19,1,1,1,1,0
Custom,06/12/19,1,1,0,0,0
Custom,06/19/19,1,1,1,1,0
Custom,06/26/19,1,1,0,0,0
Custom,07/03/19,1,1,1,0,0
Custom,07/10/19,1,1,0,0,0
Custom,07/17/19,1,1,1,0,0
Custom,07/24/19,1,1,0,0,0
Custom,07/31/19,1,1,1,0,0
Custom,08/07/19,1,1,0,0,0
Custom,08/14/19,1,1,1,0,0
Custom,08/21/19,1,1,0,0,0
Custom,08/28/19,1,1,1,0,0
Custom,09/04/19,1,1,0,0,0
Custom,09/11/19,1,1,1,0,0
Custom,09/18/19,1,1,0,0,0
Custom,09/25/19,1,1,1,0,0
Custom,10/02/19,1,1,0,0,0
Custom,10/09/19,1,1,1,0,0
Custom,10/16/19,1,1,0,0,0
Custom,10/23/19,1,1,1,0,0
Custom,10/30/19,1,1,0,0,0
Custom,11/06/19,1,1,1,0,0
Custom,11/13/19,1,1,0,0,0
Custom,11/20/19,1,1,1,0,0
Custom,11/27/19,1,1,0,0,0
Custom,12/04/19,1,1,1,0,0
Custom,12/11/19,1,1,0,0,0
Custom,12/18/19,1,1,1,0,0
Custom,12/24/19,1,1,0,0,0
